Price,Close
Ticker,JPY=X
Date,
2022-01-03,115.14199829101562
2022-01-04,115.3280029296875
2022-01-05,116.17400360107422
2022-01-06,116.12799835205078
2022-01-07,115.86499786376953
2022-01-10,115.61799621582031
2022-01-11,115.27799987792969
2022-01-12,115.33100128173828
2022-01-13,114.67500305175781
2022-01-14,114.11799621582031
2022-01-17,114.30599975585938
2022-01-18,114.57099914550781
2022-01-19,114.55400085449219
2022-01-20,114.34700012207031
2022-01-21,113.99299621582031
2022-01-24,113.78500366210938
2022-01-25,114.01100158691406
2022-01-26,113.875
2022-01-27,114.72100067138672
2022-01-28,115.35199737548828
2022-01-31,115.26200103759766
2022-02-01,115.12100219726562
2022-02-02,114.73600006103516
2022-02-03,114.38200378417969
2022-02-04,114.95700073242188
2022-02-07,115.2239990234375
2022-02-08,115.06300354003906
2022-02-09,115.53099822998047
2022-02-10,115.60199737548828
2022-02-11,116.0469970703125
2022-02-14,115.58399963378906
2022-02-15,115.53600311279297
2022-02-16,115.63500213623047
2022-02-17,115.38700103759766
2022-02-18,114.86599731445312
2022-02-21,114.96099853515625
2022-02-22,114.60900115966797
2022-02-23,115.09600067138672
2022-02-24,114.89800262451172
2022-02-25,115.57099914550781
2022-02-28,115.58499908447266
2022-03-01,115.0780029296875
2022-03-02,114.83300018310547
2022-03-03,115.51899719238281
2022-03-04,115.4739990234375
2022-03-07,114.94999694824219
2022-03-08,115.37300109863281
2022-03-09,115.72200012207031
2022-03-10,115.90899658203125
2022-03-11,116.17900085449219
2022-03-14,117.52899932861328
2022-03-15,118.21800231933594
2022-03-16,118.29199981689453
2022-03-17,118.87000274658203
2022-03-18,118.48600006103516
2022-03-21,119.26300048828125
2022-03-22,119.59400177001953
2022-03-23,121.33999633789062
2022-03-24,121.12699890136719
2022-03-25,122.34600067138672
2022-03-28,122.2699966430664
2022-03-29,123.66000366210938
2022-03-30,123.125
2022-03-31,122.02100372314453
2022-04-01,121.75599670410156
2022-04-04,122.61000061035156
2022-04-05,122.80899810791016
2022-04-06,123.65599822998047
2022-04-07,123.7229995727539
2022-04-08,124.09600067138672
2022-04-11,124.38500213623047
2022-04-12,125.47200012207031
2022-04-13,125.41600036621094
2022-04-14,125.37699890136719
2022-04-15,126.17900085449219
2022-04-18,126.61799621582031
2022-04-19,127.0979995727539
2022-04-20,129.33299255371094
2022-04-21,128.01300048828125
2022-04-22,128.4080047607422
2022-04-25,128.60499572753906
2022-04-26,127.74400329589844
2022-04-27,127.26599884033203
2022-04-28,128.3939971923828
2022-04-29,130.81100463867188
2022-05-02,130.01100158691406
2022-05-03,130.11199951171875
2022-05-04,130.11599731445312
2022-05-05,129.22300720214844
2022-05-06,130.3300018310547
2022-05-09,130.74899291992188
2022-05-10,130.3769989013672
2022-05-11,130.3509979248047
2022-05-12,129.8350067138672
2022-05-13,128.58799743652344
2022-05-16,129.4320068359375
2022-05-17,128.92300415039062
2022-05-18,129.45399475097656
2022-05-19,127.91400146484375
2022-05-20,127.83200073242188
2022-05-23,127.90299987792969
2022-05-24,127.84600067138672
2022-05-25,126.76899719238281
2022-05-26,127.1520004272461
2022-05-27,127.04499816894531
2022-05-30,127.28500366210938
2022-05-31,127.78399658203125
2022-06-01,128.73599243164062
2022-06-02,130.1219940185547
2022-06-03,129.91799926757812
2022-06-06,130.70700073242188
2022-06-07,132.17599487304688
2022-06-08,132.8470001220703
2022-06-09,134.42999267578125
2022-06-10,134.41799926757812
2022-06-13,134.81399536132812
2022-06-14,134.22500610351562
2022-06-15,135.29400634765625
2022-06-16,134.11500549316406
2022-06-17,132.42100524902344
2022-06-20,135.2760009765625
2022-06-21,135.08700561523438
2022-06-22,136.2689971923828
2022-06-23,136.0240020751953
2022-06-24,134.83999633789062
2022-06-27,135.06199645996094
2022-06-28,135.43499755859375
2022-06-29,136.0469970703125
2022-06-30,136.58900451660156
2022-07-01,135.78599548339844
2022-07-04,135.04299926757812
2022-07-05,135.83999633789062
2022-07-06,135.52099609375
2022-07-07,135.96600341796875
2022-07-08,135.91299438476562
2022-07-11,136.30099487304688
2022-07-12,137.38800048828125
2022-07-13,136.7259979248047
2022-07-14,137.6280059814453
2022-07-15,138.9669952392578
2022-07-18,138.31399536132812
2022-07-19,138.22900390625
2022-07-20,138.1909942626953
2022-07-21,138.39500427246094
2022-07-22,137.09800720214844
2022-07-25,136.31199645996094
2022-07-26,136.43099975585938
2022-07-27,136.97000122070312
2022-07-28,136.11099243164062
2022-07-29,134.39700317382812
2022-08-01,133.40699768066406
2022-08-02,131.57200622558594
2022-08-03,133.37899780273438
2022-08-04,133.96200561523438
2022-08-05,132.62100219726562
2022-08-08,135.0570068359375
2022-08-09,134.83999633789062
2022-08-10,135.18699645996094
2022-08-11,132.8300018310547
2022-08-12,132.99400329589844
